Sequence,ExpectedTotal_ms,Network_ms,JitterSize_pkts,Jitter_ms,Total_ms
596,13,0.098,0,0,12.098
597,13,0.123,0,0,12.123
598,13,0.118,0,0,12.118
599,13,0.135,0,0,12.135
600,13,0.118,0,0,12.118
601,13,0.149,0,0,12.149
602,13,0.115,0,0,12.115
603,13,0.132,0,0,12.132
604,13,0.114,0,0,12.114
605,13,0.369,0,0,12.369
606,13,0.096,0,0,12.096
607,13,0.137,0,0,12.137
608,13,0.127,0,0,12.127
609,13,0.132,0,0,12.132
610,13,0.514,0,0,12.514
611,13,0.165,0,0,12.165
612,13,0.117,0,0,12.117
613,13,0.124,0,0,12.124
614,13,0.049,0,0,12.049
615,13,0.139,0,0,12.139
616,13,0.109,0,0,12.109
617,13,0.077,0,0,12.077
618,13,0.072,0,0,12.072
619,13,0.148,0,0,12.148
620,13,0.083,0,0,12.083
621,13,0.153,0,0,12.153
622,13,0.087,0,0,12.087
623,13,0.157,0,0,12.157
624,13,0.126,0,0,12.126
625,13,0.131,0,0,12.131
626,13,0.053,1,4,16.053
627,13,0.143,0,0,12.143
628,13,0.108,0,0,12.108
629,13,0.136,0,0,12.136
630,13,0.098,0,0,12.098
631,13,0.112,0,0,12.112
632,13,0.124,0,0,12.124
633,13,0.125,0,0,12.125
634,13,0.063,1,4,16.063
635,13,0.107,0,0,12.107
636,13,0.13,0,0,12.13
637,13,0.114,0,0,12.114
638,13,0.089,0,0,12.089
639,13,0.078,0,0,12.078
640,13,0.131,0,0,12.131
641,13,0.123,0,0,12.123
642,13,0.062,1,4,16.062
643,13,0.063,0,0,12.063
644,13,0.123,0,0,12.123
645,13,0.123,0,0,12.123
646,13,0.05,1,4,16.05
647,13,0.063,0,0,12.063
648,13,0.197,0,0,12.197
649,13,0.126,0,0,12.126
650,13,0.128,0,0,12.128
651,13,0.2,0,0,12.2
652,13,0.153,0,0,12.153
653,13,0.126,0,0,12.126
654,13,0.157,0,0,12.157
655,13,0.148,0,0,12.148
656,13,0.137,0,0,12.137
657,13,0.152,0,0,12.152
658,13,0.194,0,0,12.194
659,13,0.142,0,0,12.142
660,13,0.145,0,0,12.145
661,13,0.181,0,0,12.181
662,13,0.119,0,0,12.119
663,13,0.09,0,0,12.09
664,13,0.234,0,0,12.234
665,13,0.144,0,0,12.144
666,13,0.054,1,4,16.054
667,13,0.1,0,0,12.1
668,13,0.054,0,0,12.054
669,13,0.148,0,0,12.148
670,13,0.111,0,0,12.111
671,13,0.379,0,0,12.379
672,13,0.153,0,0,12.153
673,13,0.181,0,0,12.181
674,13,0.07,1,4,16.07
675,13,0.131,0,0,12.131
676,13,0.121,0,0,12.121
677,13,0.124,0,0,12.124
678,13,0.113,0,0,12.113
679,13,0.12,0,0,12.12
680,13,0.123,0,0,12.123
681,13,0.162,0,0,12.162
682,13,0.069,1,4,16.069
683,13,0.106,0,0,12.106
684,13,0.094,0,0,12.094
685,13,0.134,0,0,12.134
686,13,0.061,1,4,16.061
687,13,0.109,0,0,12.109
688,13,0.1,0,0,12.1
689,13,0.117,0,0,12.117
690,13,0.137,0,0,12.137
691,13,0.115,0,0,12.115
692,13,0.092,0,0,12.092
693,13,0.139,0,0,12.139
694,13,0.064,1,4,16.064
695,13,0.103,0,0,12.103
696,13,0.08,0,0,12.08
697,13,0.106,0,0,12.106
698,13,0.095,0,0,12.095
699,13,0.152,0,0,12.152
700,13,0.131,0,0,12.131
701,13,0.148,0,0,12.148
702,13,0.057,1,4,16.057
703,13,0.169,0,0,12.169
704,13,0.126,0,0,12.126
705,13,0.367,0,0,12.367
706,13,0.106,0,0,12.106
707,13,0.113,0,0,12.113
708,13,0.102,0,0,12.102
709,13,0.124,0,0,12.124
710,13,0.172,0,0,12.172
711,13,0.139,0,0,12.139
712,13,0.102,0,0,12.102
713,13,0.133,0,0,12.133
714,13,0.056,0,0,12.056
715,13,0.159,0,0,12.159
716,13,0.131,0,0,12.131
717,13,0.132,0,0,12.132
718,13,0.156,0,0,12.156
719,13,0.227,0,0,12.227
720,13,0.106,0,0,12.106
721,13,0.128,0,0,12.128
722,13,0.063,0,0,12.063
723,13,0.077,0,0,12.077
724,13,0.123,0,0,12.123
725,13,0.131,0,0,12.131
726,13,0.082,1,4,16.082
727,13,0.134,0,0,12.134
728,13,0.107,0,0,12.107
729,13,0.117,0,0,12.117
730,13,0.097,0,0,12.097
731,13,0.133,0,0,12.133
732,13,0.122,0,0,12.122
733,13,0.126,0,0,12.126
734,13,0.062,1,4,16.062
735,13,0.117,0,0,12.117
736,13,0.126,0,0,12.126
737,13,0.128,0,0,12.128
738,13,0.107,0,0,12.107
739,13,0.078,0,0,12.078
740,13,0.212,0,0,12.212
741,13,0.182,0,0,12.182
742,13,0.065,1,4,16.065
743,13,0.168,0,0,12.168
744,13,0.141,0,0,12.141
745,13,0.154,0,0,12.154
746,13,0.074,1,4,16.074
747,13,0.113,0,0,12.113
748,13,0.12,0,0,12.12
749,13,0.146,0,0,12.146
750,13,0.12,0,0,12.12
751,13,0.131,0,0,12.131
752,13,0.171,0,0,12.171
753,13,0.156,0,0,12.156
754,13,0.067,0,0,12.067
755,13,0.114,0,0,12.114
756,13,0.143,0,0,12.143
